# SPEKA A2 word source — American English headwords (NGSL / CEFR-J / high-frequency basis)
# Creative content (phonetic, exampleEN, tr) is original, authored for SPEKA. License-clean.
# Format (TAB-separated): headword <TAB> pos <TAB> phonetic <TAB> exampleEN <TAB> tr
# Lines starting with # are comments. Blank lines ignored.
# pos vocabulary: noun, verb, adjective, adverb, pronoun, preposition,
#                 conjunction, determiner, number, interjection, modal, auxiliary
# A2 level: words a learner meets AFTER A1 — more abstract nouns, useful verbs,
#           connectors, and everyday-but-less-basic vocabulary. No A1 headwords.
#
# ---- Connectors & function words ----
although	conjunction	/ɔlˈðoʊ/	Although it was raining, we went for a walk.	-e rağmen
however	adverb	/haʊˈɛvər/	The plan was good; however, it failed.	ancak / yine de
therefore	adverb	/ˈðɛrfɔr/	He was late; therefore, he missed the train.	bu yüzden
while	conjunction	/waɪl/	She read a book while she waited.	-iken
unless	conjunction	/ʌnˈlɛs/	I won't go unless you come with me.	-medikçe
until	preposition	/ʌnˈtɪl/	We waited until the rain stopped.	-e kadar
since	conjunction	/sɪns/	I have lived here since 2010.	-den beri
during	preposition	/ˈdʊrɪŋ/	He fell asleep during the movie.	sırasında / boyunca
without	preposition	/wɪˈðaʊt/	I can't read without my glasses.	-siz / -meden
through	preposition	/θru/	We drove through a long tunnel.	içinden / boyunca
across	preposition	/əˈkrɔs/	The dog ran across the street.	karşıdan karşıya
along	preposition	/əˈlɔŋ/	We walked along the beach.	boyunca
toward	preposition	/tɔrd/	She walked toward the door.	-e doğru
against	preposition	/əˈɡɛnst/	He leaned against the wall.	-e karşı / -e dayalı
among	preposition	/əˈmʌŋ/	She felt safe among her friends.	arasında (çoğul)
behind	preposition	/bɪˈhaɪnd/	The car is parked behind the house.	arkasında
beside	preposition	/bɪˈsaɪd/	Come and sit beside me.	yanında
inside	preposition	/ɪnˈsaɪd/	The keys are inside the drawer.	içinde
outside	preposition	/ˌaʊtˈsaɪd/	The children are playing outside.	dışında / dışarıda
instead	adverb	/ɪnˈstɛd/	I drank tea instead of coffee.	yerine
besides	adverb	/bɪˈsaɪdz/	I'm tired; besides, it's getting late.	ayrıca / üstelik
otherwise	adverb	/ˈʌðərwaɪz/	Hurry up, otherwise we'll be late.	aksi takdirde
anyway	adverb	/ˈɛniweɪ/	It was expensive, but I bought it anyway.	yine de / her neyse
#
# ---- Adverbs of degree, time, manner ----
already	adverb	/ɔlˈrɛdi/	I have already finished my homework.	çoktan / zaten
yet	adverb	/jɛt/	She hasn't arrived yet.	henüz
still	adverb	/stɪl/	He is still waiting for the bus.	hâlâ
soon	adverb	/sun/	The meeting will start soon.	yakında
later	adverb	/ˈleɪtər/	I will call you later.	daha sonra
early	adverb	/ˈɜrli/	We arrived early for the show.	erken
late	adverb	/leɪt/	He came home late last night.	geç
almost	adverb	/ˈɔlmoʊst/	I am almost ready to leave.	neredeyse
quite	adverb	/kwaɪt/	The exam was quite difficult.	oldukça
really	adverb	/ˈrɪli/	I really enjoyed the concert.	gerçekten
probably	adverb	/ˈprɑbəbli/	It will probably rain tomorrow.	muhtemelen
certainly	adverb	/ˈsɜrtənli/	I will certainly help you.	kesinlikle
suddenly	adverb	/ˈsʌdənli/	Suddenly, the lights went out.	aniden
slowly	adverb	/ˈsloʊli/	Please speak more slowly.	yavaşça
quickly	adverb	/ˈkwɪkli/	She quickly answered the phone.	çabucak
carefully	adverb	/ˈkɛrfəli/	He drove carefully in the rain.	dikkatlice
quietly	adverb	/ˈkwaɪətli/	The baby slept quietly.	sessizce
loudly	adverb	/ˈlaʊdli/	They laughed loudly at the joke.	yüksek sesle
hardly	adverb	/ˈhɑrdli/	I could hardly hear the music.	neredeyse hiç
nearly	adverb	/ˈnɪrli/	The bottle is nearly empty.	neredeyse
exactly	adverb	/ɪɡˈzæktli/	That is exactly what I meant.	tam olarak
finally	adverb	/ˈfaɪnəli/	We finally found the right house.	sonunda
recently	adverb	/ˈrisəntli/	I recently started a new job.	son zamanlarda
usually	adverb	/ˈjuʒəwəli/	I usually wake up at seven.	genellikle
#
# ---- Useful everyday verbs ----
explain	verb	/ɪkˈspleɪn/	Can you explain this rule to me?	açıklamak
describe	verb	/dɪˈskraɪb/	Please describe the man you saw.	tarif etmek
decide	verb	/dɪˈsaɪd/	We need to decide where to eat.	karar vermek
choose	verb	/tʃuz/	You can choose any color you like.	seçmek
agree	verb	/əˈɡri/	I agree with your idea.	hemfikir olmak
suggest	verb	/səˈdʒɛst/	She suggested a new restaurant.	önermek
prefer	verb	/prɪˈfɜr/	I prefer tea to coffee.	tercih etmek
hate	verb	/heɪt/	I hate waiting in long lines.	nefret etmek
enjoy	verb	/ɪnˈdʒɔɪ/	We enjoy walking in the park.	keyif almak
forget	verb	/fərˈɡɛt/	Don't forget to lock the door.	unutmak
worry	verb	/ˈwɜri/	Don't worry about the test.	endişelenmek
relax	verb	/rɪˈlæks/	I relax by listening to music.	rahatlamak
imagine	verb	/ɪˈmædʒən/	Imagine living by the ocean.	hayal etmek
realize	verb	/ˈriəlaɪz/	I didn't realize it was so late.	fark etmek
notice	verb	/ˈnoʊtɪs/	Did you notice the new sign?	fark etmek / dikkat etmek
recognize	verb	/ˈrɛkəɡnaɪz/	I didn't recognize you with short hair.	tanımak
appear	verb	/əˈpɪr/	A rainbow appeared after the rain.	görünmek / belirmek
seem	verb	/sim/	You seem tired this morning.	görünmek / -e benzemek
happen	verb	/ˈhæpən/	What happened at the meeting?	olmak / meydana gelmek
exist	verb	/ɪɡˈzɪst/	Many old customs still exist today.	var olmak
continue	verb	/kənˈtɪnju/	Please continue with your story.	devam etmek
finish	verb	/ˈfɪnɪʃ/	I need to finish this report today.	bitirmek
return	verb	/rɪˈtɜrn/	Please return the book by Friday.	geri dönmek / iade etmek
follow	verb	/ˈfɑloʊ/	Follow this road to the bridge.	takip etmek
join	verb	/dʒɔɪn/	Would you like to join us for lunch?	katılmak
share	verb	/ʃɛr/	The children share their toys.	paylaşmak
borrow	verb	/ˈbɑroʊ/	Can I borrow your pen?	ödünç almak
lend	verb	/lɛnd/	I can lend you some money.	ödünç vermek
spend	verb	/spɛnd/	We spend the weekend at home.	harcamak / geçirmek
save	verb	/seɪv/	I save money for vacation.	tasarruf etmek / kurtarmak
cost	verb	/kɔst/	How much does this jacket cost?	maliyeti olmak
earn	verb	/ɜrn/	She earns a good salary.	kazanmak
win	verb	/wɪn/	Our team hopes to win the match.	kazanmak (maç)
lose	verb	/luz/	Be careful not to lose your ticket.	kaybetmek
break	verb	/breɪk/	Be careful, you might break the glass.	kırmak
fix	verb	/fɪks/	Can you fix my broken chair?	tamir etmek
build	verb	/bɪld/	They want to build a new school.	inşa etmek
grow	verb	/ɡroʊ/	These plants grow very fast.	büyümek / yetiştirmek
cut	verb	/kʌt/	Please cut the bread into slices.	kesmek
carry	verb	/ˈkæri/	He helped me carry the heavy box.	taşımak
catch	verb	/kætʃ/	Run, or you'll miss the bus to catch.	yakalamak
throw	verb	/θroʊ/	Don't throw trash on the ground.	atmak / fırlatmak
pull	verb	/pʊl/	Pull the door to open it.	çekmek
push	verb	/pʊʃ/	Push the button to start.	itmek
fall	verb	/fɔl/	Be careful not to fall on the ice.	düşmek
rise	verb	/raɪz/	The sun will rise at six.	yükselmek / doğmak
fly	verb	/flaɪ/	We will fly to Paris next week.	uçmak
ride	verb	/raɪd/	I ride my bike to work.	binmek (bisiklet/at)
climb	verb	/klaɪm/	They want to climb the mountain.	tırmanmak
jump	verb	/dʒʌmp/	The cat can jump very high.	zıplamak
swim	verb	/swɪm/	I learned to swim as a child.	yüzmek
dance	verb	/dæns/	They love to dance at parties.	dans etmek
sing	verb	/sɪŋ/	She likes to sing in the shower.	şarkı söylemek
draw	verb	/drɔ/	My son loves to draw animals.	çizmek
paint	verb	/peɪnt/	We will paint the kitchen white.	boyamak
plan	verb	/plæn/	We plan to travel this summer.	planlamak
prepare	verb	/prɪˈpɛr/	I need to prepare for the exam.	hazırlanmak
practice	verb	/ˈpræktɪs/	You should practice every day.	pratik yapmak
improve	verb	/ɪmˈpruv/	I want to improve my English.	geliştirmek
teach	verb	/titʃ/	She will teach us how to cook.	öğretmek
discuss	verb	/dɪˈskʌs/	Let's discuss this after lunch.	tartışmak / görüşmek
